name,color
Action,#E4281A
Adventure,#FFF700
Baseball,#00FF00
Battle,#00BFFF
Board,#FF00FF
Card,#E4281A
Compilation,#FFF700
Educational,#00FF00
Fighting,#00BFFF
Flight,#FF00FF
Hunting,#E4281A
Music,#FFF700
Other,#00FF00
Party,#00BFFF
Pinball,#FF00FF
Platformer,#E4281A
Productivity,#FFF700
Puzzle,#00FF00
RPG,#00BFFF
Racing,#FF00FF
Shooter,#E4281A
Simulation,#FFF700
Sports,#00FF00
Strategy,#00BFFF
Wrestling,#FF00FF
