name,color
Action,#E4281A
Adventure,#FFF700
Board,#FF00FF
Card,#E4281A
Fighting,#00BFFF
Flight,#FF00FF
Music,#FFF700
Party,#00BFFF
Platformer,#E4281A
Productivity,#FFF700
Puzzle,#00FF00
RPG,#00BFFF
Racing,#FF00FF
Shooter,#E4281A
Simulation,#FFF700
Sports,#00FF00
Strategy,#00BFFF
Wrestling,#FF00FF
